Rk,Player,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
1,Bobby Abreu,2000,26,PHI,NL,154,680,576,103,182,105,42,10,25,79,28,8,100,116,.316,.416,.554,.970,143,319,12,1,0,3,9,*9/H,abreubo01
2,Edgardo Alfonzo,2000,26,NYM,NL,150,650,544,109,176,109,40,2,25,94,3,2,95,70,.324,.425,.542,.967,147,295,12,5,0,6,1,*4/DH,alfoned01
3,Luis Alicea,2000,34,TEX,AL,139,619,540,85,159,120,25,8,6,63,1,3,59,75,.294,.365,.404,.769,95,218,13,5,7,7,1,*4/5DH6,alicelu01
4,Roberto Alomar,2000,32,CLE,AL,155,697,610,111,189,128,40,2,19,89,39,4,64,82,.310,.378,.475,.853,114,290,19,6,11,6,4,*4/H,alomaro01
5,Moises Alou,2000,33,HOU,NL,126,517,454,82,161,101,28,2,30,114,3,3,52,45,.355,.416,.623,1.039,151,283,21,2,0,9,4,*97/HD,aloumo01
6,Brady Anderson,2000,36,BAL,AL,141,618,506,89,130,85,26,0,19,50,16,9,92,103,.257,.375,.421,.796,106,213,4,8,5,7,5,*897D/H,anderbr01
7,Garret Anderson,2000,28,ANA,AL,159,681,647,92,185,107,40,3,35,117,7,6,24,87,.286,.307,.519,.827,103,336,21,0,1,9,5,*89D/H,anderga01
8,Rich Aurilia,2000,28,SFG,NL,141,571,509,67,138,92,24,2,20,79,1,2,54,90,.271,.339,.444,.783,102,226,15,0,4,4,2,*6/H,aurilri01
9,Brad Ausmus,2000,31,DET,AL,150,604,523,75,139,104,25,3,7,51,11,5,69,79,.266,.357,.365,.722,89,191,19,6,4,2,0,*2/H345,ausmubr01
10,Jeff Bagwell,2000,32,HOU,NL,159,719,590,152,183,98,37,1,47,132,9,6,107,116,.310,.424,.615,1.039,152,363,19,15,0,7,11,*3/D,bagweje01
11,Tony Batista,2000,26,TOR,AL,154,664,620,96,163,88,32,2,41,114,5,4,35,121,.263,.307,.519,.827,102,322,15,6,0,3,1,*5,batisto01
12,David Bell,2000,27,SEA,AL,133,512,454,57,112,75,24,2,11,47,2,3,42,66,.247,.316,.381,.697,81,173,11,6,6,4,0,54/H36D,bellda01
13,Derek Bell,2000,31,NYM,NL,144,622,546,87,145,95,31,1,18,69,8,4,65,125,.266,.348,.425,.773,98,232,14,6,2,3,0,*9/81H,bellde01
14,Jay Bell,2000,34,ARI,NL,149,649,565,87,151,97,30,6,18,68,7,3,70,88,.267,.348,.437,.786,94,247,7,3,6,5,0,*4/HD,bellja01
15,Albert Belle,2000,33,BAL,AL,141,622,559,71,157,96,37,1,23,103,0,5,52,68,.281,.342,.474,.817,109,265,17,4,0,7,11,*9D,belleal01
16,Ronnie Belliard,2000,25,MIL,NL,152,667,571,83,150,103,30,9,8,54,7,5,82,84,.263,.354,.389,.743,91,222,12,3,4,7,4,*4/H,belliro01
17,Adrián Beltré,2000,21,LAD,NL,138,575,510,71,148,96,30,2,20,85,12,5,56,80,.290,.360,.475,.835,114,242,13,2,3,4,2,*5/6H,beltrad01
18,Marvin Benard,2000,29,SFG,NL,149,633,560,102,147,102,27,6,12,55,22,7,63,97,.263,.342,.396,.739,92,222,4,6,2,2,0,*897H,benarma01
19,Peter Bergeron,2000,22,MON,NL,148,592,518,80,127,90,25,7,5,31,11,13,58,100,.245,.320,.349,.669,67,181,4,0,14,2,0,*87/H,bergepe01
20,Dante Bichette,2000,36,BOSCIN,ALNL,155,636,575,80,169,112,32,2,23,90,5,2,49,91,.294,.350,.477,.826,105,274,21,4,1,7,3,*9D/H,bicheda01
21,Barry Bonds,2000,35,SFG,NL,143,607,480,129,147,66,28,4,49,106,11,3,117,77,.306,.440,.688,1.127,188,330,6,3,0,7,22,*7/H,bondsba01
22,Bret Boone,2000,31,SDP,NL,127,525,463,61,116,77,18,2,19,74,8,4,50,97,.251,.326,.421,.747,94,195,11,5,0,7,7,*4/H,boonebr01
23,Mike Bordick,2000,34,BALNYM,ALNL,156,644,583,88,166,115,30,1,20,80,9,6,49,99,.285,.341,.443,.783,101,258,16,3,4,5,0,*6,bordimi01
24,Scott Brosius,2000,33,NYY,AL,135,519,470,57,108,72,20,0,16,64,0,3,45,73,.230,.299,.374,.673,70,176,17,2,0,2,1,*5/379DH,brosisc01
25,Damon Buford,2000,30,CHC,NL,150,556,495,64,124,88,18,3,15,48,4,6,47,118,.251,.324,.390,.714,82,193,9,8,4,2,3,*8H/97,buforda01
26,Jeromy Burnitz,2000,31,MIL,NL,161,686,564,91,131,69,29,2,31,98,6,4,99,121,.232,.356,.456,.811,106,257,12,14,0,9,10,*9/HD,burnije01
27,Mike Cameron,2000,27,SEA,AL,155,643,543,96,145,94,28,4,19,78,24,7,78,133,.267,.365,.438,.803,108,238,10,9,7,6,0,*8/H9,camermi01
28,Sean Casey,2000,25,CIN,NL,133,545,480,69,151,96,33,2,20,85,1,0,52,80,.315,.385,.517,.902,124,248,16,7,0,6,4,*3/H,caseyse01
29,Luis Castillo,2000,24,FLA,NL,136,626,539,101,180,158,17,3,2,17,62,22,78,86,.334,.418,.388,.806,111,209,11,0,9,0,0,*4/H,castilu01
30,Eric Chávez,2000,22,OAK,AL,153,569,501,89,139,86,23,4,26,86,2,2,62,94,.277,.355,.495,.850,117,248,9,1,0,5,8,*5H/6D,chaveer01
31,Jeff Cirillo,2000,30,COL,NL,157,684,598,111,195,129,53,2,11,115,3,4,67,72,.326,.392,.477,.869,100,285,19,6,1,12,4,*5/H,cirilje01
