Rk,Player,HR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
1,Aaron Judge,62,2022,30,NYY,AL,157,696,570,133,177,87,28,0,62,131,16,3,111,175,.311,.425,.686,1.111,211,391,14,6,0,5,19,*89D/H,judgeaa01
2,Kyle Schwarber,46,2022,29,PHI,NL,155,669,577,100,126,56,21,3,46,94,10,1,86,200,.218,.323,.504,.827,130,291,10,4,0,2,3,*7D/H,schwaky01
3,Pete Alonso,40,2022,27,NYM,NL,160,685,597,95,162,95,27,0,40,131,5,1,67,128,.271,.352,.518,.869,146,309,17,12,0,9,16,*3D,alonspe01
4,Austin Riley,38,2022,25,ATL,NL,159,693,615,90,168,89,39,2,38,93,2,0,57,168,.273,.349,.528,.878,142,325,13,17,0,4,1,*5/3H,rileyau01
5,Yordan Alvarez,37,2022,25,HOU,AL,135,561,470,95,144,76,29,2,37,97,1,1,78,106,.306,.406,.613,1.019,187,288,12,6,0,7,9,D7/H,alvaryo01
6,Christian Walker,36,2022,31,ARI,NL,160,667,583,84,141,78,25,2,36,94,2,2,69,131,.242,.327,.477,.804,126,278,15,8,0,7,2,*3D/H,walkech02
7,Mookie Betts,35,2022,29,LAD,NL,142,639,572,117,154,76,40,3,35,82,12,2,55,104,.269,.340,.533,.873,136,305,8,8,0,4,0,*9/4HD,bettsmo01
8,Paul Goldschmidt,35,2022,34,STL,NL,151,651,561,106,178,102,41,0,35,115,7,0,79,141,.317,.404,.578,.981,180,324,7,5,0,4,1,*3D/H,goldspa01
9,Rowdy Tellez,35,2022,27,MIL,NL,153,599,529,67,116,58,23,0,35,89,2,1,62,121,.219,.306,.461,.767,115,244,20,5,0,3,9,*3H/D,tellero01
10,Matt Olson,34,2022,28,ATL,NL,162,699,616,86,148,70,44,0,34,103,0,0,75,170,.240,.325,.477,.802,122,294,13,4,0,4,6,*3,olsonma02
11,Shohei Ohtani,34,2022,27,LAA,AL,157,666,586,90,160,90,30,6,34,95,11,9,72,161,.273,.356,.519,.875,145,304,6,5,0,3,14,*D1/H,ohtansh01
12,Anthony Santander,33,2022,27,BAL,AL,152,647,574,78,138,81,24,0,33,89,0,2,55,122,.240,.318,.455,.773,117,261,14,13,0,5,1,*97D/H,santaan02
13,Corey Seager,33,2022,28,TEX,AL,151,663,593,91,145,87,24,1,33,83,3,0,58,103,.245,.317,.455,.772,119,270,14,7,0,5,7,*6/D,seageco01
14,Vladimir Guerrero Jr.,32,2022,23,TOR,AL,160,706,638,90,175,108,35,0,32,97,8,3,58,116,.274,.339,.480,.818,132,306,26,6,0,4,6,*3D/H5,guerrvl02
15,Manny Machado,32,2022,29,SDP,NL,150,644,578,100,172,102,37,1,32,102,9,1,63,133,.298,.366,.531,.898,159,307,12,1,0,2,10,*5D/H,machama01
16,Anthony Rizzo,32,2022,32,NYY,AL,130,548,465,77,104,50,21,1,32,75,6,5,58,101,.224,.338,.480,.817,131,223,13,23,0,2,6,*3/DH,rizzoan01
17,Willy Adames,31,2022,26,MIL,NL,139,617,563,83,134,72,31,0,31,98,8,3,49,166,.238,.298,.458,.756,112,258,11,1,0,4,3,*6/DH,adamewi01
18,Eugenio Suárez,31,2022,30,SEA,AL,150,629,543,76,128,71,24,2,31,87,0,0,73,196,.236,.332,.459,.791,129,249,12,8,0,5,0,*5D/H,suareeu01
19,Nolan Arenado,30,2022,31,STL,NL,148,620,557,73,163,90,42,1,30,103,5,3,52,72,.293,.358,.533,.891,154,297,15,7,0,4,3,*5D/H,arenano01
20,Rhys Hoskins,30,2022,29,PHI,NL,156,672,589,81,145,80,33,2,30,79,2,1,72,169,.246,.332,.462,.794,122,272,12,6,0,4,0,*3/DH,hoskirh01
21,Kyle Tucker,30,2022,25,HOU,AL,150,609,544,71,140,81,28,1,30,107,25,4,59,95,.257,.330,.478,.808,128,260,11,1,0,2,4,*9/DH,tuckeky01
22,C.J. Cron,29,2022,32,COL,NL,150,632,575,79,148,88,28,3,29,102,0,0,43,164,.257,.315,.468,.783,107,269,16,8,0,5,6,*3D/H,croncj01
23,José Ramírez,29,2022,29,CLE,AL,157,685,601,90,168,90,44,5,29,126,20,7,69,82,.280,.355,.514,.869,148,309,5,6,0,9,20,*5D,ramirjo01
24,Hunter Renfroe,29,2022,30,MIL,NL,125,522,474,62,121,68,23,1,29,72,1,1,39,121,.255,.315,.492,.807,126,233,11,4,2,3,1,*9/D3,renfrhu01
25,Jose Altuve,28,2022,32,HOU,AL,141,604,527,103,158,91,39,0,28,57,18,1,66,87,.300,.387,.533,.921,160,281,13,10,0,1,2,*4/HD,altuvjo01
26,Brandon Drury,28,2022,29,CINSDP,NL,138,568,518,87,136,75,31,2,28,87,2,3,38,126,.263,.320,.492,.813,122,255,8,8,0,4,0,534D/H69,drurybr01
27,Julio Rodríguez,28,2022,21,SEA,AL,132,560,511,84,145,89,25,3,28,75,25,7,40,145,.284,.345,.509,.853,147,260,7,8,0,1,4,*8/DH,rodriju01
28,Matt Chapman,27,2022,29,TOR,AL,155,621,538,83,123,68,27,1,27,76,2,2,68,170,.229,.324,.433,.757,115,233,7,10,0,5,1,*5/HD,chapmma01
29,Rafael Devers,27,2022,25,BOS,AL,141,614,555,84,164,94,42,1,27,88,3,1,50,114,.295,.358,.521,.879,141,289,14,6,0,3,11,*5/DH,deverra01
30,Adolis García,27,2022,29,TEX,AL,156,657,605,88,151,85,34,5,27,101,25,6,40,183,.250,.300,.456,.756,113,276,9,6,0,6,2,*98D/H,garciad02
31,Nathaniel Lowe,27,2022,26,TEX,AL,157,645,593,74,179,123,26,3,27,76,2,2,48,147,.302,.358,.492,.851,141,292,10,4,0,0,2,*3/DH,lowena01
32,Bryan Reynolds,27,2022,27,PIT,NL,145,614,542,74,142,92,19,4,27,62,7,3,56,141,.262,.345,.461,.807,126,250,13,14,0,2,6,*8D/7H,reynobr01
33,Juan Soto,27,2022,23,SDPWSN,NL,153,664,524,93,127,73,25,2,27,62,6,2,135,96,.242,.401,.452,.853,149,237,12,4,0,0,6,*9/DH,sotoju01
34,Daulton Varsho,27,2022,25,ARI,NL,151,592,531,79,125,72,23,3,27,74,16,6,46,145,.235,.302,.443,.745,109,235,8,7,2,5,0,*982D/H,varshda01
35,Francisco Lindor,26,2022,28,NYM,NL,161,706,630,98,170,114,25,5,26,107,16,6,59,133,.270,.339,.449,.788,125,283,11,10,0,7,2,*6/D,lindofr01
36,Marcus Semien,26,2022,31,TEX,AL,161,724,657,101,163,101,31,5,26,83,25,8,53,120,.248,.304,.429,.733,108,282,7,4,0,10,0,*46,semiema01
37,Seth Brown,25,2022,29,OAK,AL,150,555,500,55,115,61,26,3,25,73,11,2,51,146,.230,.305,.444,.749,116,222,7,3,0,1,3,3798H/D,brownse01
38,Teoscar Hernández,25,2022,29,TOR,AL,131,535,499,71,133,72,35,1,25,77,6,3,34,152,.267,.316,.491,.807,127,245,18,2,0,0,0,*9D/7H,hernate01
39,George Springer,25,2022,32,TOR,AL,133,583,513,89,137,86,22,4,25,76,14,2,54,100,.267,.342,.472,.814,131,242,7,7,0,5,1,8D9/H,springe01
40,Dansby Swanson,25,2022,28,ATL,NL,162,696,640,99,177,119,32,1,25,96,18,7,49,182,.277,.329,.447,.776,115,286,12,3,0,4,0,*6,swansda01
41,Patrick Wisdom,25,2022,30,CHC,NL,134,534,469,67,97,44,28,0,25,66,8,4,53,183,.207,.298,.426,.725,102,200,8,9,1,2,1,53/97HD8,wisdopa01
42,Bo Bichette,24,2022,24,TOR,AL,159,697,652,91,189,121,43,1,24,93,13,8,41,155,.290,.333,.469,.802,127,306,21,2,0,2,0,*6/DH,bichebo01
43,Will Smith,24,2022,27,LAD,NL,137,578,508,68,132,79,26,3,24,87,1,0,56,96,.260,.343,.465,.807,120,236,11,10,0,4,4,*2D/H,smithwi05
44,Gleyber Torres,24,2022,25,NYY,AL,140,572,526,73,135,82,28,1,24,76,10,5,39,129,.257,.310,.451,.761,114,237,12,3,1,3,2,*4/DH6,torregl01
45,Alex Bregman,23,2022,28,HOU,AL,155,656,548,93,142,81,38,0,23,93,1,2,87,77,.259,.366,.454,.820,133,249,18,11,0,10,1,*5/H,bregmal01
46,Marcell Ozuna,23,2022,31,ATL,NL,124,507,470,56,106,64,19,0,23,56,2,1,31,122,.226,.274,.413,.687,89,194,12,2,0,4,0,D7,ozunama01
47,Taylor Ward,23,2022,28,LAA,AL,135,564,495,73,139,92,22,2,23,65,5,3,60,120,.281,.360,.473,.833,135,234,5,4,0,5,0,*9/8H57D,wardta01
48,Carlos Correa,22,2022,27,MIN,AL,136,590,522,70,152,105,24,1,22,64,0,1,61,121,.291,.366,.467,.834,140,244,18,3,0,4,2,*6/DH,correca01
49,Ryan Mountcastle,22,2022,25,BAL,AL,145,609,555,62,139,88,28,1,22,85,4,1,43,154,.250,.305,.423,.729,105,235,12,4,0,7,1,*3D/H,mountry01
50,Jeremy Peña,22,2022,24,HOU,AL,136,558,521,72,132,88,20,2,22,63,11,2,22,135,.253,.289,.426,.715,101,222,5,6,1,5,0,*6/H,penaje02
51,J.T. Realmuto,22,2022,31,PHI,NL,139,562,504,75,139,86,26,5,22,84,21,1,41,119,.276,.342,.478,.820,129,241,7,12,0,5,1,*2/H3D,realmjt01
52,Luke Voit,22,2022,31,SDPWSN,NL,135,568,500,55,113,69,22,0,22,69,1,1,55,179,.226,.308,.402,.710,106,201,9,7,0,6,1,D3/H,voitlu01
53,Freddie Freeman,21,2022,32,LAD,NL,159,708,612,117,199,129,47,2,21,100,13,3,84,102,.325,.407,.511,.918,152,313,6,5,0,7,12,*3,freemfr01
54,Max Muncy,21,2022,31,LAD,NL,136,565,464,69,91,47,22,1,21,69,2,0,90,141,.196,.329,.384,.713,96,178,2,5,0,6,1,54D/H3,muncyma01
55,Trea Turner,21,2022,29,LAD,NL,160,708,652,101,194,130,39,4,21,100,27,3,45,131,.298,.343,.466,.809,121,304,9,3,0,6,1,*6,turnetr01
56,Randy Arozarena,20,2022,27,TBR,AL,153,645,586,72,154,90,41,3,20,89,32,12,46,156,.263,.327,.445,.773,124,261,17,11,0,2,2,*7D9/H,arozara01
57,Eduardo Escobar,20,2022,33,NYM,NL,136,542,495,58,119,69,26,4,20,69,0,2,40,129,.240,.295,.430,.726,106,213,4,1,0,6,3,*5/DH4,escobed01
58,Ty France,20,2022,27,SEA,AL,140,613,551,65,151,103,27,1,20,83,0,0,35,94,.274,.338,.436,.774,125,240,18,21,0,5,3,*3/D5H4,francty01
